Verified,Performance Title,Performance title in Japanese,Date,Time,Venue concatenated,Venue address,Latitude,Longtitude,Venue capacity,Genres concatenated,Performance types concatenated,"English name of performing troupes, performers concatenated","Kanji name of performing troupes, performers concatenated",Organizers/Sponsors concatenated,Org/Spon type 1,Organizers concatenated,org/spon type 2,Sponsors concatenated,org/spon type 3,Festival
,Tamakichi Troupe,,1893-01-28,21:00,Circus Grounds (River Valley Road),,,,,Circus,Others,Tamakichi Troupe,,,,,,,,
,Masuda Troupe,,1896-01-06,Evening,Tent (River Valley and Tank Road junction),,,,,Circus,Others,Masuda Troupe,,,,,,,,
,Masuda Troupe,,1896-01-07,Evening,Tent (River Valley and Tank Road junction),,,,,Circus,Others,Masuda Troupe,,,,,,,,
,Kikuchi Acrobatic Troupe,,14/4/1916,20:00,,"Beach Road, Singapore",,,,Circus,Others,Kikuchi Acrobatic Troupe,,,,,,,,
,Voice recital by Seijiro Tatsumi,,13/7/1927,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Seijiro Tatsumi,,,,,,,,
,Voice recital by Seijiro Tatsumi,,12/1/1928,Evening,YMCA of Singapore,"1 Orchard Road, Singapore 238824",1.2974501,103.8484139,,Contemporary music,Concert,Seijiro Tatsumi; Suzuko Yamamoto (piano),,,,,,,,
,Vocal concert by Toshiko Sekiya,,5/4/1934,Evening,Victoria Memorial Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Toshiko Sekiya,,,,,,,,
,"""Jikatsu Kyorei No Yube"" (""Self-Sufficiency Night”）",,1/10/1945,20:00,"Great World Amusement Park, Stadium","Kim Seng Road, Singapore",1.2927264,103.8332304,,Contemporary music,Concert,Atira Matsudaira (Possible typo: Akira Matsudaira),,,,,,,,
,Shochiku Revue,,28/1/1955,,Majestic Theatre,"80 Eu Tong Sen Street, Singapore 059810",1.2847314,103.8432034,,Musical,Concert,Shochiku Revue,松竹少女歌劇団,,,,,,,
,Kinoshita Circus,,16/12/1955,18:30,Great World Amusement Park,"Kim Seng Promenade, Great World Park, Singapore 237994",,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,16/12/1955,21:30,Great World Amusement Park,"Kim Seng Road, Singapore",1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,17/12/1955,14:00,Great World Amusement Park,"Kim Seng Road, Singapore",1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,17/12/1955,18:30,Great World Amusement Park,"Kim Seng Road, Singapore",1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,17/12/1955,21:30,Great World Amusement Park,"Kim Seng Road, Singapore",1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
,Yada Latin Dance Troupe,矢田拉丁歌舞團,23/12/1955,,Odeon-Katong Theatre,"331 North Bridge Road, Singapore 188720",1.2962,103.8532644,,Contemporary dance,Dance,Yada Latin Dance Troupe,矢田歌舞團,,,,,,,
Drums,New Yada Dance Troupe,日本新矢田歌舞團,10/9/1956,,Kuala Lumpur,,,,,Contemporary dance,Dance,New Yada Dance Troupe,日本新矢田歌舞團,,,,,,,
,New Yada Dance Troupe,日本新矢田歌舞團,27/7/1956,,Majestic Theatre (Kuala Lumpur),,,,,Contemporary dance,Dance,New Yada Dance Troupe,日本新矢田歌舞團,,,,,,,
,Kinoshita Circus (Grand Gala Premiere Performance),,29/1/1957,21:30,Great World Amusement Park,"Kim Seng Road, Singapore",,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,30/1/1957,19:00,Great World Amusement Park,"Kim Seng Road, Singapore",,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,30/1/1957,21:30,Great World Amusement Park,"Kim Seng Road, Singapore",,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Charity performance by Kinoshita Circus,,7/2/1957,,,,,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Shochiku Revue,,17/1/1958,21:30,Majestic Theatre,"80 Eu Tong Sen Street, Singapore 059810",,,,Musical,Theatre,Shochiku Revue,松竹歌劇団,,,,,,,
,Dance performance by Hidemi Hanayagi,,7/12/1960,,"Cornwall Gardens, Residence of Japanese Consul-General Kensaku Maeda",,,,,Nihon buyo,Dance,Hidemi Hanayagi,,Japanese Consul-General Kensaku Maeda,,,,,,
,Dance performance by Hidemi Hanayagi,,8/12/1960,,"Cornwall Gardens, Residence of Japanese Consul-General Kensaku Maeda",,,,,Nihon buyo,Dance,Hidemi Hanayagi,,Japanese Consul-General Kensaku Maeda,,,,,,
,Dance performance by Hidemi Hanayagi,,12/12/1960,,Japan Club,"Kheam Hock Road, Singapore",,,,Nihon buyo,Dance,Hidemi Hanayagi,,Japanese Consul-General Kensaku Maeda,,,,,,
,Opera recital by Kiyoko Ohtani,,16/2/1962,Evening,Victoria Memorial Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Kiyoko Ohtani; Lee Kum Sing (piano),,Impresarios Association of the Far East,,,,Impresarios Association of the Far East,,
,Concert by Japan Broadcasting Corporation Symphony Orchestra,,5/10/1962,20:45,Singapore Badminton Stadium,"100 Guillemard Road, Singapore 399718",1.3099084,103.8818419,,Classical music; Contemporary music,Concert,Japan Broadcasting Corporation Symphony Orchestra; Yoshio Unno (violin); Ozawa Seiji (conductor),,Goh Soon Tioe; Impresarios Association of the Far East,,,,,,
,Concert by Japan Broadcasting Corporation Symphony Orchestra,,6/10/1962,18:15,Singapore Badminton Stadium,"100 Guillemard Road, Singapore 399718",1.3099084,103.8818419,,Classical music; Contemporary music,Concert,Japan Broadcasting Corporation Symphony Orchestra; Yoshio Unno (violin); Ozawa Seiji (conductor),,Goh Soon Tioe; Impresarios Association of the Far East,,,,,,
,Xylophone concert by Yoichi Hiraoka,,16/6/1963,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Yoichi Hiraoka,,,,,,,,
,Xylophone concert by Yoichi Hiraoka,,17/6/1963,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Yoichi Hiraoka,,,,,,,,
,Piano recital by Azusa Fujita Teng,,8/3/1965,Evening,Cultural Centre (Fort Canning),"40 Canning Rise, Singapore",1.29521,103.84677,,Contemporary music,Concert,Azusa Fujita Teng,,,,,,Rotary Club of Singapore West,,
,Okamura Takao solo concert,岡村隆夫,24/7/1966,20:45,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Choir,Concert,Okamura Taka,岡村隆夫,Singapore Musical Society,,,,,,
,Night of the Cherry Blossom: Japanese Cultural variety show,,27/11/1966,20:00,National Theatre,,1.292954,103.844164,,Folk dance; Minyo; Nihon Buyo,Others,Japanese cultural performance troupe led by Hanayagi Hiroyuki,花柳啓之,Embassy of Japan in Singapore; National Theatre Trust; Ministry of Foreign Affairs (MFA),,,,,,
,Night of the Cherry Blossom: Japanese Cultural variety show,,28/11/1966,20:00,National Theatre,,1.292954,103.844164,,Folk dance; Minyo; Nihon Buyo,Others,Japanese cultural performance troupe led by Hanayagi Hiroyuki,,Embassy of Japan in Singapore; National Theatre Trust; Ministry of Foreign Affairs (MFA),,,,,,
